"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2","CL10A226MPCNUBE","","Soldered footprints:0805C","2",""
"C3","1u","","Soldered footprints:0603C","1",""
"C4","100n","","Soldered footprints:0603C","1",""
"C5","C1608X7S1A475K080AC","","Soldered footprints:0805C","1",""
"DM1","SKU: 700199","","Soldered footprints:PCB","1",""
"K1,K2","qwiic-SMD","","Soldered footprints:qwiic-connector","2",""
"K3,K4","HEADER_MALE_8X1","","Soldered footprints:HEADER_MALE_8X1","2",""
"K5","HEADER_MALE_4X1","","Soldered footprints:HEADER_MALE_4X1","1",""
"L1","DFE201612E-2R2M=P2","","Soldered footprints:0806L","1",""
"Q1","NMOS","","Soldered footprints:SOT-23-3","1",""
"R1,R2,R3","100k","","Soldered footprints:0603R","3",""
"R4,R6,R8,R9,R10","10k","","Soldered footprints:0603R","5",""
"R5","0R","","Soldered footprints:0603R","1",""
"R7","TC33X-2-103E","","Soldered footprints:tc33x-2-103e","1",""
"U1","TCA9534PWR","","Soldered footprints:TSSOP-16","1",""
"U2","TPS613222A","","Soldered footprints:tps613222a","1",""
"U3","NMOS-DUAL","","Soldered footprints:SOT-363","1",""
